q1;q2
0.9603;0.3489
0.9607;0.0920
0.9614;0.3809
0.9618;0.3381
0.9623;0.5905
0.9627;0.5454
0.9625;0.5354
0.9617;0.5314
0.9626;0.4772
0.9629;0.3759
0.9629;0.3588
0.9637;0.0899
0.9640;0.5233
0.9632;0.5193
0.9646;0.3688
0.9645;0.3307
0.9653;0.5874
0.9654;0.5543
0.9655;0.5112
0.9647;0.5072
0.9656;0.4781
0.9660;0.3236
0.9666;0.0818
0.9659;0.0778
0.9669;0.0604
0.9660;0.0517
0.9667;0.0447
0.9670;0.4991
0.9670;0.4911
0.9670;0.4841
0.9675;0.3165
0.9675;0.3085
0.9675;0.3005
0.9675;0.2935
0.9677;0.2212
0.9670;0.2122
0.9678;0.2052
0.9674;0.0718
0.9682;0.5823
0.9683;0.5542
0.9692;0.2292
0.9697;0.0406
0.9705;0.2924
0.9706;0.2372
0.9707;0.2001
0.9712;0.5772
0.9712;0.5491
0.9721;0.2522
0.9721;0.2452
0.9726;0.0365
0.9734;0.2903
0.9734;0.2822
0.9735;0.2742
0.9727;0.2682
0.9728;0.2602
0.9737;0.1970
0.9741;0.5711
0.9742;0.5430
0.9756;0.0344
0.9759;0.1959
0.9766;0.1878
0.9771;0.5630
0.9772;0.5389
0.9785;0.0343
0.9796;0.1867
0.9800;0.5549
0.9801;0.5368
0.9817;0.0512
0.9814;0.0422
0.9807;0.0352
0.9818;0.5448
0.9825;0.1836
0.9823;0.5347
0.9843;0.0592
0.9855;0.1795
0.9870;0.1715
0.9871;0.1343
0.9873;0.0651
0.9885;0.1644
0.9885;0.1443
0.9886;0.1253
0.9886;0.1192
0.9900;0.1523
0.9902;0.0781
0.9895;0.0711
0.9907;0.1593
0.9915;0.1171
0.9931;0.0780
0.9945;0.1130
0.9960;0.0799
0.9974;0.1049
0.9989;0.0979
0.9990;0.0838
0.9997;0.0908

